ble_id,mcsp,field,unit,passive_stream,ble_request_result,status,answered_as,sweep_2026_08_12,usb_2026_08_21
8D-09,0x0D09,HeadUnit.PRODUCT_NAME,,yes,value,,READ_RESPONSE,value,value
8D-0A,0x0D0A,HeadUnit.IS_SAMPLE_SOFTWARE,,,not-available,DENIED,READ_RESPONSE,refused,value
8D-0B,0x0D0B,HeadUnit.UI_PRIORITY,,,not-available,DENIED,READ_RESPONSE,refused,value
8D-0C,0x0D0C,HeadUnit.DATA_MODEL_VERSION,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8D-0D,0x0D0D,HeadUnit.BOOTMANAGER_SOFTWARE_VERSION,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8D-0E,0x0D0E,HeadUnit.EASTER_EGG,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8D-10,0x0D10,HeadUnit.COMPONENT_LOCKED,,,not-available,DENIED,READ_RESPONSE,refused,NOT_READY
8D-11,0x0D11,HeadUnit.COMPONENT_LOCK_CONFIGURATION,,,not-available,DENIED,READ_RESPONSE,refused,value
8D-12,0x0D12,HeadUnit.DISPLAY_BRIGHTNESS_CONFIGURATION,,,not-available,DENIED,READ_RESPONSE,refused,value
8D-13,0x0D13,HeadUnit.SUPPORTED_LANGUAGES,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8D-14,0x0D14,HeadUnit.IN_SOFTWARE_INSTALLATION_STATE,,,command (not tested),,,,value
8D-15,0x0D15,HeadUnit.HEAD_UNIT_FEATURE_PROPERTIES_RELEASE1,,yes,value,,READ_RESPONSE,value,value
8D-16,0x0D16,HeadUnit.SIGNAL_LAMP_HASH_WITH_ALIVE_COUNTER,,,not-available,DENIED,READ_RESPONSE,refused,value
8D-17,0x0D17,HeadUnit.RESET_INTERNAL_VALUES,,,command (not tested),,,,DENIED
8D-18,0x0D18,HeadUnit.STATUSBAR_CUSTOMIZATION,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8D-19,0x0D19,HeadUnit.HEAD_UNIT_FEATURE_PROPERTIES_RELEASE2,,yes,value,,READ_RESPONSE,value,value
8D-1B,0x0D1B,HeadUnit.KEY_DEVICE,,yes,value,,READ_RESPONSE,value,DENIED
8D-1C,0x0D1C,HeadUnit.SET_AS_KEY_DEVICE,,,command (not tested),,,,DENIED
